Title,Embeddings,Algorithm,Num Clusters,Metric,MinPts,NumNoise,Silhouette Score
PCA-0-mean_DBSCAN_metric:l1_minPts:9,PCA-0-mean,DBScan,16,l1,9,202,0.4213679804039216
PCA-0-mean_DBSCAN_metric:l1_minPts:10,PCA-0-mean,DBScan,16,l1,10,201,0.4212586974369122
PCA-0-mean_DBSCAN_metric:l2_minPts:12,PCA-0-mean,DBScan,16,l2,12,274,0.42122088952878667
PCA-0-mean_DBSCAN_metric:l1_minPts:11,PCA-0-mean,DBScan,16,l1,11,193,0.42114460171900664
PCA-0-mean_DBSCAN_metric:l1_minPts:12,PCA-0-mean,DBScan,16,l1,12,184,0.4210952781033683
PCA-0-mean_DBSCAN_metric:l2_minPts:9,PCA-0-mean,DBScan,16,l2,9,176,0.4210777382153127
PCA-0-mean_DBSCAN_metric:l2_minPts:10,PCA-0-mean,DBScan,16,l2,10,178,0.4210720153029396
PCA-0-mean_DBSCAN_metric:l2_minPts:11,PCA-0-mean,DBScan,16,l2,11,181,0.42103323714777
PCA-0-mean_DBSCAN_metric:l1_minPts:16,PCA-0-mean,DBScan,16,l1,16,215,0.4210191231420388
PCA-0-mean_DBSCAN_metric:l1_minPts:21,PCA-0-mean,DBScan,16,l1,21,247,0.42100765208157687
PCA-0-mean_DBSCAN_metric:l1_minPts:14,PCA-0-mean,DBScan,16,l1,14,221,0.4209979819315355
PCA-0-mean_DBSCAN_metric:l2_minPts:14,PCA-0-mean,DBScan,16,l2,14,169,0.4207779348890092
PCA-0-mean_DBSCAN_metric:l1_minPts:26,PCA-0-mean,DBScan,16,l1,26,210,0.42063041871170936
PCA-0-mean_DBSCAN_metric:l2_minPts:22,PCA-0-mean,DBScan,16,l2,22,156,0.4205290238349982
PCA-0-mean_DBSCAN_metric:l2_minPts:19,PCA-0-mean,DBScan,16,l2,19,139,0.4205049475650614
PCA-0-mean_DBSCAN_metric:l1_minPts:19,PCA-0-mean,DBScan,16,l1,19,150,0.4204806829784655
PCA-0-mean_DBSCAN_metric:l1_minPts:22,PCA-0-mean,DBScan,16,l1,22,142,0.42043196537991323
PCA-0-mean_DBSCAN_metric:l2_minPts:26,PCA-0-mean,DBScan,16,l2,26,130,0.4204090861826392
PCA-0-mean_DBSCAN_metric:cosine_minPts:26,PCA-0-mean,DBScan,16,cosine,26,124,0.4200823470579342
PCA-0-mean_DBSCAN_metric:cosine_minPts:19,PCA-0-mean,DBScan,16,cosine,19,103,0.4200064235369507
PCA-0-mean_DBSCAN_metric:cosine_minPts:22,PCA-0-mean,DBScan,16,cosine,22,72,0.4199918579624881
PCA-0-mean_DBSCAN_metric:cosine_minPts:21,PCA-0-mean,DBScan,16,cosine,21,78,0.41995983014610533
PCA-0-mean_DBSCAN_metric:correlation_minPts:26,PCA-0-mean,DBScan,16,correlation,26,62,0.4198417903282019
PCA-0-mean_DBSCAN_metric:correlation_minPts:22,PCA-0-mean,DBScan,16,correlation,22,70,0.41980662732412244
PCA-0-mean_DBSCAN_metric:correlation_minPts:21,PCA-0-mean,DBScan,16,correlation,21,78,0.41980049862269786
PCA-0-mean_DBSCAN_metric:cosine_minPts:16,PCA-0-mean,DBScan,17,cosine,16,96,0.41973978215087443
PCA-0-mean_DBSCAN_metric:correlation_minPts:19,PCA-0-mean,DBScan,16,correlation,19,140,0.41965950940488195
PCA-0-mean_DBSCAN_metric:cosine_minPts:10,PCA-0-mean,DBScan,17,cosine,10,123,0.41962194519338797
PCA-0-mean_DBSCAN_metric:cosine_minPts:9,PCA-0-mean,DBScan,17,cosine,9,128,0.4195906852041566
PCA-0-mean_DBSCAN_metric:cosine_minPts:11,PCA-0-mean,DBScan,17,cosine,11,150,0.41955344112230114
PCA-0-mean_DBSCAN_metric:cosine_minPts:14,PCA-0-mean,DBScan,17,cosine,14,137,0.419533128942116
PCA-0-mean_DBSCAN_metric:cosine_minPts:12,PCA-0-mean,DBScan,17,cosine,12,117,0.41952014443109775
PCA-0-mean_DBSCAN_metric:correlation_minPts:16,PCA-0-mean,DBScan,17,correlation,16,86,0.41941753067139076
PCA-0-mean_DBSCAN_metric:correlation_minPts:10,PCA-0-mean,DBScan,17,correlation,10,111,0.41934288656123064
PCA-0-mean_DBSCAN_metric:correlation_minPts:12,PCA-0-mean,DBScan,17,correlation,12,111,0.41931023858520333
PCA-0-mean_DBSCAN_metric:correlation_minPts:14,PCA-0-mean,DBScan,17,correlation,14,119,0.4192540744262409
PCA-0-mean_DBSCAN_metric:correlation_minPts:9,PCA-0-mean,DBScan,17,correlation,9,135,0.4191560217354231
PCA-0-mean_DBSCAN_metric:correlation_minPts:11,PCA-0-mean,DBScan,17,correlation,11,225,0.4187412091656589
PCA-0-mean_DBSCAN_metric:l2_minPts:16,PCA-0-mean,DBScan,3,l2,16,12652,0.38876593397935516
PCA-0-mean_DBSCAN_metric:l2_minPts:21,PCA-0-mean,DBScan,3,l2,21,12551,0.378411317518057
